WELL_ID,DEPTH,GR,SP,RT,AC,POR,PERM,SW,SSB,CJWX,CJWX1,CJWX2,CJWX3,CJWX4,std_GR,std_SP,std_RT,std_AC,std_POR,std_PERM,std_SW,std_DEPTH,mm_GR,mm_SP,mm_RT,mm_AC,mm_POR,mm_PERM,mm_SW,mm_DEPTH,GR_rate,SP_rate,RT_rate,AC_rate,POR_rate,PERM_rate,SW_rate,DEPTH_rate,GR_sign,SP_sign,RT_sign,AC_sign,POR_sign,PERM_sign,SW_sign,DEPTH_sign,ACTUAL,CNN_1D,LSTM,Bi-GRU,ABi-GRU,MC-ABiLSTM
罗检38-365,1685.625,103.222,99.057,23.079,244.388,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,0.26065737556948204,0.8941033575061299,1.7960148879399116,-0.07083447720341189,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-1.5865712323537209,0.3585288465835457,0.8073194979495479,0.9314366495847322,0.5971635927824752,0.0,0.0,1.0,0.04016064257027807,-0.037009394620716535,0.005471081426744511,-0.016282340906184644,-0.0002618100895062955,0.0,0.0,0.0,7.416196974191635e-05,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,7.0,7,7,7,7,7
罗检38-365,1685.75,105.816,99.547,22.815,244.233,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,0.3901379010224965,0.9918398010430126,1.7263631714849452,-0.08382987523969809,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-1.5727147150405882,0.3817133664030031,0.8377656269417191,0.9158861989750836,0.5950995405819293,0.0,0.0,1.0,0.04417670682730801,0.025130301679874387,0.0049466468800792385,-0.011438970492655631,-0.0006342373602631928,0.0,0.0,0.0,7.415647015202076e-05,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,7.0,7,7,7,7,7
罗检38-365,1685.875,112.023,99.972,22.574,244.816,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,0.6999627358285341,1.0766112061515312,1.6627795969938584,-0.03495041036773415,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-1.5588581977274554,0.43718997184609204,0.8641729837206427,0.9016905224715792,0.6028630401491437,0.0,0.0,1.0,0.04819277108433795,0.058658425946926676,0.004269340110701449,-0.010563225947841315,0.002387064811061445,0.0,0.0,0.0,7.415097137772504e-05,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,7.0,7,7,7,7,7
罗检38-365,1686.0,113.738,100.298,22.162,245.429,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,0.7855676321862521,1.1416358604230028,1.554080706162622,0.016444292833838425,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-1.5450016804143225,0.452518210662734,0.8844289797440039,0.8774223950050064,0.6110260336906581,0.0,0.0,1.0,0.05220883534136789,0.0153093561143694,0.003260913055655375,-0.0182510853193941,0.0025039213123326416,0.0,0.0,0.0,7.414547341884776e-05,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,7.0,7,7,7,7,7
罗检38-365,1686.125,109.327,100.529,21.635,245.13,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,0.5653908404463731,1.1877116123761056,1.4150411055119887,-0.0086242491845463,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-1.5311451631011894,0.4130938016713591,0.8987821548403137,0.8463803970077162,0.6070444104134758,0.0,0.0,1.0,0.05622489959839072,-0.03878211327788415,0.0023031366527748193,-0.023779442288602,-0.0012182749389844177,0.0,0.0,0.0,7.41399762752076e-05,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,7.0,7,7,7,7,7
罗检38-365,1686.25,109.005,100.669,21.073,243.754,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,0.5493180843955354,1.2156363105295005,1.2667673757858855,-0.1239898472357036,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-1.5172886457880566,0.4102158466282343,0.9074810488380772,0.8132767862402069,0.5887209534589521,0.0,0.0,1.0,0.06024096385542066,-0.0029452925626790908,0.0013926329715803455,-0.02597642708574075,-0.005613348019418172,0.0,0.0,0.0,7.413447994662318e-05,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,7.0,7,7,7,7,7
罗检38-365,1686.375,119.001,100.712,20.63,240.965,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,1.0482723374519487,1.224213182105187,1.1498896849163769,-0.35782317061120145,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-1.5034321284749237,0.4995575814452341,0.9101528519945336,0.7871826588914409,0.5515813303149342,0.0,0.0,1.0,0.0642570281124506,0.09170221549470216,0.000427142417228803,-0.021022161059175315,-0.011441863518137202,0.0,0.0,0.0,7.412898443291327e-05,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,7.0,7,7,7,7,7
罗检38-365,1686.5,129.893,100.655,20.368,238.511,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,1.591950781258516,1.2128438407141615,1.0807656329800084,-0.5635696659727899,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-1.4895756111617906,0.5969075389909283,0.9066111594383016,0.7717500147258052,0.5189027232172578,0.0,0.0,1.0,0.06827309236947343,0.09152864261644857,-0.0005659702915243682,-0.012699951526902592,-0.010184051625754809,0.0,0.0,0.0,7.412348973389667e-05,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,7.0,7,7,7,7,7
罗检38-365,1686.625,129.584,100.478,20.331,237.485,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,1.5765269252966885,1.1775390437630828,1.0710038393859411,-0.6495908168452371,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-1.4757190938486575,0.5941457746793583,0.8956132720268428,0.7695705955115741,0.5052400292962247,0.0,0.0,1.0,0.07228915662650337,-0.002378881079041961,-0.0017584819432716378,-0.0018165750196386013,-0.004301688391730285,0.0,0.0,0.0,7.411799584939223e-05,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,7.0,7,7,7,7,7
罗检38-365,1686.75,124.738,100.188,20.531,236.704,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,1.33463693827074,1.1196950261596217,1.1237702912457643,-0.7150708546925889,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-1.4618625765355246,0.5508334450551907,0.8775941344600477,0.7813512399128228,0.4948398694986347,0.0,0.0,1.0,0.07630522088353331,-0.0373965921718731,-0.0028862039451422825,0.009837194432147915,-0.003288628755500372,0.0,0.0,0.0,7.411250277921885e-05,-1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,1.0,7.0,7,7,7,7,7
罗检38-365,1686.875,123.082,99.812,20.745,237.039,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,1.251977050009294,1.0446972654047952,1.1802303947357755,-0.6869840266786795,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-1.4480060592223918,0.5360325334048354,0.8542313905803427,0.7939565294221593,0.4993008855449763,0.0,0.0,1.0,0.08032128514056325,-0.013275826131571708,-0.0037529444644066796,0.010423262383712542,0.0014152697039340608,0.0,0.0,0.0,7.41070105231955e-05,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,7,7,7,7,7
