GR,SP,RT,AC,SH,POR,PERM,SW,DEPTH,AC_line_3,AC_line_4,AC_line_5,AC_point_3,AC_point_4,AC_point_5,C_3_MASK,C_4_MASK,C_5_MASK,R_3_MASK,R_4_MASK,R_5_MASK
0.361399329,0.492756055,0.163059127,0.508086518,0.463409916,0,0,1,0.083472454,0.508086518,0.508086518,0.508086518,0.508086518,0.508086518,,0,0,0,0,0,1
0.345503651,0.465654193,0.15371404,0.496313138,0.445184724,0,0,1,0.085141903,0.496313138,0.496313138,0.496313138,0.496313138,0.496313138,0.496313138,0,0,0,0,0,0
0.334036575,0.437881076,0.139519612,0.473884724,0.423553053,0,0,1,0.086811352,0.473884724,0.473884724,0.473884724,0.473884724,,0.473884724,0,0,0,0,1,0
0.320105122,0.413883761,0.128002425,0.446098071,0.39427024,0,0,1,0.088480801,0.446098071,0.446098071,0.446098071,0.446098071,,0.446098071,0,0,0,0,1,0
0.300681113,0.387285339,0.121258808,0.420253165,0.17180683,0.358732479,0,1,0.09015025,0.420253165,0.420253165,0.420253165,0.420253165,,0.420253165,0,0,0,0,1,0
0.270835796,0.338871175,0.115727528,0.39679243,0.15121752,0.412276623,0,1,0.091819699,0.39679243,0.39679243,0.39679243,0.39679243,0.39679243,0.39679243,0,0,0,0,0,0
0.242909236,0.293757342,0.110196247,0.392958093,0.152410325,0.480170066,0,0.977755021,0.093489149,0.392958093,0.392958093,0.392958093,0.392958093,0.392958093,0.392958093,0,0,0,0,0,0
0.248138078,0.260110757,0.107493749,0.393044119,0.156955877,0.521357869,0,0.873883484,0.095158598,0.393044119,0.393044119,0.393044119,0.393044119,0.393044119,,0,0,0,0,0,1
0.257377213,0.22677183,0.107897861,0.392085535,0.161447699,0.550986514,0,0.804275474,0.096828047,0.392085535,0.392085535,0.392085535,0.392085535,0.392085535,,0,0,0,0,0,1
0.267134686,0.17827376,0.109792135,0.383839253,0.166992628,0.554108816,0,0.794105934,0.098497496,0.383839253,0.383839253,0.383839253,0.383839253,0.383839253,,0,0,0,0,0,1
0.277437777,0.139900431,0.116030611,0.373651223,0.170033742,0.528001063,0,0.841796097,0.100166945,0.373651223,0.373651223,0.373651223,0.373651223,0.373651223,0.373651223,0,0,0,0,0,0
