DEPTH AC GR PERM POR RT SH SP SPC SW
1217.250 299.612 94.770 0.010 0.100 10.207 50.819 85.667 -52.433 99.900 
1217.375 268.892 99.602 0.010 0.100 10.794 58.573 85.635 -52.466 99.900 
1217.500 249.249 102.803 0.010 0.100 11.394 64.100 85.590 -52.512 99.900 
1217.625 239.797 103.545 0.010 0.100 11.995 65.427 85.563 -52.540 99.900 
1217.750 236.041 104.071 0.010 0.100 12.556 66.380 85.560 -52.545 99.900 
1217.875 233.565 104.855 0.010 0.100 12.981 67.816 85.557 -52.549 99.900 
1218.000 231.296 105.885 0.010 0.100 13.289 69.735 85.558 -52.549 99.900 
1218.125 235.732 105.943 0.010 0.100 13.551 69.843 85.574 -52.533 99.900 
1218.250 251.113 105.731 0.010 0.100 13.666 69.445 85.588 -52.521 99.900 
1218.375 270.795 105.519 0.010 0.100 13.551 69.048 85.600 -52.510 99.900 
1218.500 283.944 104.606 0.010 0.100 13.200 67.357 85.629 -52.482 99.900 
1218.625 289.325 104.060 0.010 0.100 12.777 66.359 85.631 -52.481 99.900 
1218.750 293.728 104.406 0.010 0.100 12.318 66.991 85.594 -52.519 99.900 
1218.875 301.871 103.117 0.010 0.100 11.817 64.660 85.568 -52.546 99.900 
1219.000 308.843 101.592 0.010 0.100 11.385 61.972 85.535 -52.581 99.900 
1219.125 302.648 100.835 0.010 0.100 11.047 60.665 85.474 -52.643 99.900 
1219.250 279.679 100.556 0.010 0.100 10.818 60.186 85.415 -52.702 99.900 
1219.375 251.688 101.382 0.010 0.100 10.720 61.606 85.333 -52.785 99.900 
1219.500 240.543 102.798 0.010 0.100 10.772 64.091 85.220 -52.900 99.900 
1219.625 256.867 104.362 0.010 0.100 10.900 66.911 85.102 -53.019 99.900 
1219.750 292.967 105.463 0.010 0.100 11.034 68.944 84.982 -53.140 99.900 
1219.875 339.781 106.325 0.010 0.100 11.188 70.566 84.844 -53.279 99.900 
1220.000 381.770 109.116 0.010 0.100 11.400 75.991 84.685 -53.439 99.900 
1220.125 399.984 111.964 0.010 0.100 11.655 81.821 84.513 -53.612 99.900 
1220.250 387.164 113.422 0.010 0.100 11.918 84.925 84.316 -53.811 99.900 
1220.375 351.072 113.044 0.010 0.100 12.148 84.111 84.108 -54.020 99.900 
1220.500 310.400 112.519 0.010 0.100 12.334 82.991 83.894 -54.235 99.900 
1220.625 280.038 114.005 0.010 0.100 12.493 86.188 83.645 -54.485 99.900 
1220.750 263.001 115.307 0.010 0.100 12.669 89.061 83.360 -54.771 99.900 
1220.875 253.220 115.792 0.010 0.100 12.928 90.148 83.036 -55.096 99.900 
1221.000 243.861 115.364 0.010 0.100 13.266 89.187 82.667 -55.467 99.900 
1221.125 238.494 114.466 0.010 0.100 13.644 87.197 82.255 -55.880 99.900 
1221.250 249.890 112.322 0.010 0.100 14.063 82.576 81.804 -56.332 99.900 
1221.375 286.290 110.194 0.010 0.100 14.548 78.163 81.271 -56.866 99.900 
1221.500 338.555 108.692 0.010 0.100 15.091 75.149 80.618 -57.520 99.900 
1221.625 372.471 105.407 0.010 0.100 15.619 68.839 79.878 -58.261 99.900 
1221.750 358.717 101.848 0.010 0.100 16.160 62.417 79.045 -59.095 99.900 
1221.875 305.028 98.585 0.010 0.100 16.764 56.884 78.120 -60.021 99.900 
1222.000 249.867 93.767 0.010 0.100 17.393 49.295 77.155 -60.987 99.900 
