¾®Ãû,DEPTH,GR,RT,AC,SP,POR,PERM,SW,SSR,SH,CJWX2,CJWX,CJWX1,,,,,,,,
ÂÞ¼ì36-361,1653.375,80.961,16.867,252.071,38.209,14.901,5.6915,39.943,4,12.641,2,2.542017262,0.854170249,,,,,,,,
ÂÞ¼ì36-361,1653.5,80.25,17.034,253.3,38.241,15.07,5.7885,39.369,4,12.436,2,1.242505449,0.863857839,,,,,,,,
ÂÞ¼ì36-361,1653.625,81.369,16.374,254.575,38.239,15.246,5.6754,39.763,4,13.014,2,1.032688597,0.87394669,,,,,,,,
ÂÞ¼ì36-361,1653.75,84.03,15.147,255.601,38.191,15.388,5.4654,41.022,4,14.268,2,2.245417244,0.882086558,,,,,,,,
ÂÞ¼ì36-361,1653.875,85.125,13.655,256.324,38.106,15.488,5.3518,42.97,4,14.824,2,1.92845995,0.887818859,,,,,,,,
ÂÞ¼ì36-361,1654,88.11,12.253,256.747,37.99,15.546,5.2757,45.218,4,16.254,2,1.728364091,0.891143594,,,,,,,,
ÂÞ¼ì36-361,1654.125,93.637,11.178,256.45,37.847,15.505,5.263,47.448,4,18.969,2,1.365285257,0.888793351,,,,,,,,
ÂÞ¼ì36-361,1654.25,96.769,10.52,255.071,37.68,15.315,5.1805,49.42,4,20.485,2,2.626944843,0.877901978,,,,,,,,
ÂÞ¼ì36-361,1654.375,99.451,10.321,252.514,37.501,14.962,5.06,50.887,4,21.691,2,2.658736648,0.857666953,,,,,,,,
ÂÞ¼ì36-361,1654.5,102.091,10.499,248.848,37.315,14.456,4.9394,51.938,4,22.796,2,1.985789592,0.828661508,,,,,,,,
ÂÞ¼ì36-361,1654.625,97.432,11.041,243.969,37.134,13.783,4.7272,52.728,4,19.746,2,1.720117396,0.790083118,,,,,,,,
ÂÞ¼ì36-361,1654.75,86.682,11.943,238.672,36.98,13.052,4.6916,53.084,4,14.055,2,2.624078122,0.748179994,,,,,,,,
ÂÞ¼ì36-361,1654.875,78.372,13.067,234.141,36.876,12.426,4.7102,52.898,0,10.233,1,1.082656816,0.712295787,,,,,,,,
ÂÞ¼ì36-361,1655,71.297,14.225,231.259,36.843,12.029,4.7891,52.109,0,7.413,1,1.094622153,0.68953855,,,,,,,,
ÂÞ¼ì36-361,1655.125,70.349,15.063,230.25,36.891,11.889,4.8859,51.141,0,7.018,1,1.065384886,0.681513328,,,,,,,,
ÂÞ¼ì36-361,1655.25,73.229,15.497,230.735,37.031,11.956,4.9821,50.179,0,8.065,1,1.000695797,0.68535397,,,,,,,,
ÂÞ¼ì36-361,1655.375,74.858,15.639,233.231,37.235,12.301,5.1232,48.768,0,8.83,1,1.008296949,0.70513041,,,,,,,,
ÂÞ¼ì36-361,1655.5,74.909,14.956,238.096,37.487,12.972,5.2318,47.682,0,9.185,1,1.037771652,0.743594153,,,,,,,,
ÂÞ¼ì36-361,1655.625,78.348,14.445,244.473,37.773,13.852,5.4095,45.905,0,10.98,1,1.150207386,0.794038406,,,,,,,,
ÂÞ¼ì36-361,1655.75,82.974,14.273,249.864,38.079,14.596,5.5815,44.185,5,13.332,2,1.792669689,0.83668673,,,,,,,,
